Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
LICI.NS,2023-06-23,0.0,0.44,624.95,646.9,622.75,641.75,566.7,739.95,531.85,Bullish,0.0015138500210014063,0.7621890375591167,Nifty100
KALYANKJIL.ns,2023-06-23,0.0,0.69,126.6,127.7,123.5,132.85,104.6,132.85,91.2,Bullish,1,1,Niftysmallcap100
KARURVYSYA.ns,2023-06-23,0.0,0.25,120.25,123.5,119.25,127.85,101.75,127.85,85.4,Bullish,1,1,Niftysmallcap100
KEC.ns,2023-06-23,0.0,0.5,551.45,555.8,543.25,572.4,511.05,572.4,409.65,Bullish,1,1,Niftysmallcap100
GRSE.ns,2023-06-23,0.0,0.5,561.5,580.9,553.3,598.15,446.0,598.15,399.2,Bullish,1,1,NiftyMicroCap250
GATEWAY.ns,2023-06-23,0.0,0.31,72.5,73.25,71.5,75.0,63.0,75.0,59.05,Bullish,1,1,NiftyMicroCap250
PAYTM.ns,2023-06-23,0.0,0.44,841.7,871.45,834.45,895.75,692.85,895.75,441.1,Bullish,0.008736937209936712,0.5182491317702975,NIFTYMIDCAP100
MANAPPURAM.ns,2023-06-23,0.0,0.38,123.8,125.95,122.85,128.0,108.35,130.5,102.15,Bearish,1,1,Niftysmallcap100
OFSS.ns,2023-06-23,0.0,0.44,3813.25,3860.0,3746.1,3911.65,3519.25,3911.65,2892.9,Bullish,3.60389403616739e-05,1.8033906858180322,NIFTYMIDCAP100
MRPL.ns,2023-06-23,0.0,0.56,76.7,77.9,75.25,78.7,63.7,78.7,49.85,Bullish,1,1,Niftysmallcap100
GLOBUSSPR.ns,2023-06-23,0.0,0.25,1272.05,1297.0,1241.05,1275.25,961.55,1275.25,737.05,Bullish,1,1,NiftyMicroCap250
POLICYBZR.ns,2023-06-23,0.0,0.44,656.95,690.0,648.85,663.6,588.1,663.6,371.55,Bullish,0.0017236490327417783,1.512223616013066,NIFTYMIDCAP100
ICICIPRULI.NS,2023-06-23,0.0,0.44,556.15,567.9,554.4,567.9,425.7,567.9,384.05,Bullish,0.009274998526476072,2.3631348570025965,Nifty100
MAZDOCK.ns,2023-06-23,0.0,0.44,1173.05,1238.0,1162.0,1306.85,737.5,1306.85,619.6,Bullish,1,1,Niftysmallcap100
PATANJALI.ns,2023-06-23,0.0,0.56,1181.85,1189.7,1158.0,1182.8,936.5,1445.75,881.75,Bullish,0.006948006748098642,0.6647090597941145,NIFTYMIDCAP100
GPIL.ns,2023-06-23,0.0,0.5,472.5,478.4,461.55,495.1,355.1,495.1,258.75,Bullish,1,1,NiftyMicroCap250
MEDPLUS.ns,2023-06-23,0.0,0.25,782.95,800.0,780.05,826.9,673.5,826.9,576.3,Bullish,1,1,Niftysmallcap100
GOKEX.ns,2023-06-23,0.0,0.25,478.05,489.0,475.05,513.95,373.6,513.95,341.55,Bullish,1,1,NiftyMicroCap250
METROPOLIS.ns,2023-06-23,0.0,0.5,1386.0,1438.45,1376.05,1456.1,1209.25,1765.25,1197.3,Bullish,1,1,Niftysmallcap100
GRAVITA.ns,2023-06-23,0.0,0.25,611.55,621.6,605.75,628.25,535.55,628.25,344.9,Bullish,1,1,NiftyMicroCap250
MCX.ns,2023-06-23,0.0,0.38,1566.05,1625.8,1517.1,1622.1,1285.05,1660.1,1304.7,Bullish,1,1,Niftysmallcap100
PEL.ns,2023-06-23,0.0,0.44,882.25,928.95,876.7,950.15,740.0,950.15,634.65,Bullish,0.0015100939092121757,3.0495089780041185,NIFTYMIDCAP100
GREENPLY.ns,2023-06-23,0.0,0.38,173.4,175.4,168.85,177.0,154.4,180.85,135.6,Bullish,1,1,NiftyMicroCap250
PFC.ns,2023-06-23,0.0,0.38,200.15,204.0,198.85,208.8,164.1,208.8,101.8,Bullish,0.004779460024870804,1.3803113408032412,NIFTYMIDCAP100
GUFICBIO.ns,2023-06-23,0.0,0.5,227.35,232.8,221.8,238.1,193.55,238.1,179.95,Bullish,1,1,NiftyMicroCap250
PRESTIGE.ns,2023-06-23,0.0,0.69,576.7,580.0,569.4,597.9,471.3,597.9,394.35,Bullish,0.0092297134610814,0.6486307537607117,NIFTYMIDCAP100
GMDCLTD.ns,2023-06-23,0.0,0.5,167.7,168.7,164.75,170.9,158.4,170.9,124.4,Bullish,1,1,NiftyMicroCap250
PNBHOUSING.ns,2023-06-23,0.0,0.44,588.85,615.0,579.2,611.1,455.4,632.0,388.3,Bullish,1,1,Niftysmallcap100
HBLPOWER.ns,2023-06-23,0.0,0.38,146.05,149.4,143.85,152.75,101.75,152.75,90.0,Bullish,1,1,NiftyMicroCap250
